模型 / Model,可训练参数 / Trainable,体积FP16(MB) / SizeFP16,体积INT8(MB) / SizeINT8,抖动(ms) / Jitter,CUDA事件p50(ms) / CUDAEvt p50,空闲功率(W) / Idle Power,平均功率(W) / Avg Power(raw),动态功率(W) / Dyn Power(≈raw-idle),单次能耗(mJ) / Energy per inf(raw),估计动态能耗(mJ) / Est Dyn Energy
EEGNet,2224,0.004448,0.002224,0.025099994672928005,0.24985599517822266,124.91429,127.39443889195832,2.480148891958322,44.19681679754882,0.6242534835243542
PLNet,2102,0.004204,0.002102,0.14319999900180846,0.36537599563598633,129.52376,127.24443434518648,0.0,58.69594889722963,0.0
PPNN,12930,0.02586,0.01293,0.1579000017954968,0.24182400107383728,131.18356,128.1083702448128,0.0,41.7655236232737,0.0
LMDANet,2950,0.0059,0.00295,0.4096999982721172,0.3543359935283661,138.31123,141.71867810622203,3.4074481062220343,61.33713824851616,1.1305912875448356
1DCNN_BiLSTM,19354,0.038708,0.019354,0.18819999968400225,0.355103999376297,151.91908,153.10859484657735,1.1895148465773389,66.24848645390972,0.4417858199084487
LENet,4586,0.009172,0.004586,0.2893000055337325,0.39452800154685974,160.13097,147.77292844890832,0.0,72.78982161892199,0.0
lightweight_erp,2507,0.005014,0.002507,0.6407000037143007,3.2643520832061768,116.51884,117.68477598594691,1.1659359859469163,412.28338889633875,3.807713740794305
Ours_light_without_K,4333,0.008666,0.004333,0.11129999620607123,0.38579198718070984,116.61314,113.71660664259056,0.0,56.261844557368455,0.0
